,price,numBathrooms,Status,house_size_SF,n_beds,BHK_RK,building_type
4442,8000,1,Semi-Furnished,450,1,BHK,IndependentFloor
4443,25000,1,Semi-Furnished,900,2,BHK,Apartment
4444,301182,4,Unfurnished,5896,4,BHK,IndependentFloor
4445,401012,4,Unfurnished,5896,4,BHK,IndependentFloor
4446,401011,4,Unfurnished,5896,4,BHK,IndependentFloor
4447,504015,4,Unfurnished,5896,4,BHK,IndependentFloor
4448,1010105,4,Unfurnished,5896,4,BHK,Villa
4449,1121122,4,Unfurnished,5896,4,BHK,Villa
4450,1210102,4,Unfurnished,5896,4,BHK,IndependentHouse
4451,1410101,4,Unfurnished,5896,4,BHK,Villa
4452,401015,3,Unfurnished,1856,3,BHK,IndependentFloor
4453,379449,3,Unfurnished,2856,3,BHK,IndependentFloor
4454,401014,3,Unfurnished,2741,3,BHK,IndependentFloor
4455,401014,3,Unfurnished,2741,3,BHK,IndependentFloor
4456,540105,3,Unfurnished,2856,3,BHK,IndependentFloor
4457,401102,3,Unfurnished,2856,3,BHK,IndependentFloor
4458,401015,3,Unfurnished,2856,3,BHK,IndependentFloor
4459,401012,3,Unfurnished,2856,3,BHK,IndependentFloor
4460,401012,3,Unfurnished,2741,3,BHK,IndependentFloor
4461,401012,3,Unfurnished,2856,3,BHK,IndependentFloor
4462,401012,4,Unfurnished,5896,4,BHK,IndependentFloor
4463,301010,4,Unfurnished,5896,4,BHK,IndependentFloor
4464,401012,3,Unfurnished,2856,3,BHK,IndependentFloor
4465,401012,4,Unfurnished,5896,4,BHK,IndependentFloor
4466,700000,4,Furnished,8000,5,BHK,IndependentHouse
4467,22000,1,Unfurnished,1400,4,BHK,Apartment
4468,17000,1,Furnished,600,1,BHK,IndependentFloor
4469,7000,1,Unfurnished,900,1,BHK,IndependentFloor
4470,25000,2,Furnished,830,3,BHK,Apartment
4471,9000,1,Semi-Furnished,300,1,BHK,Apartment
4472,18000,1,Semi-Furnished,900,2,BHK,Apartment
4473,25000,2,Semi-Furnished,1350,3,BHK,Apartment
4474,55000,3,Semi-Furnished,2200,4,BHK,Apartment
4475,22000,1,Furnished,650,1,BHK,Apartment
4476,13000,1,Furnished,250,1,RK,StudioApartment
4477,4999,2,Furnished,1050,2,BHK,IndependentFloor
4478,401122,4,Unfurnished,5896,4,BHK,IndependentFloor
4479,381811,4,Unfurnished,5896,4,BHK,IndependentFloor
4480,401102,4,Unfurnished,5896,4,BHK,IndependentFloor
4481,301012,4,Unfurnished,5896,4,BHK,IndependentFloor
4482,301012,4,Unfurnished,5896,4,BHK,IndependentFloor
4483,401102,4,Unfurnished,5896,4,BHK,IndependentFloor
4484,401012,4,Unfurnished,5896,4,BHK,IndependentFloor
4485,504405,4,Unfurnished,5896,4,BHK,Villa
4486,640101,4,Unfurnished,5896,4,BHK,Villa
4487,704014,4,Unfurnished,5896,4,BHK,Villa
4488,649119,4,Unfurnished,5896,4,BHK,IndependentHouse
4489,310101,3,Unfurnished,2856,3,BHK,IndependentFloor
4490,355912,3,Unfurnished,2741,3,BHK,IndependentFloor
4491,401102,3,Unfurnished,2741,3,BHK,IndependentFloor
4492,301012,3,Unfurnished,2856,3,BHK,IndependentFloor
4493,310182,3,Unfurnished,2741,3,BHK,IndependentFloor
4494,401102,3,Unfurnished,2856,3,BHK,IndependentFloor
4495,301012,4,Unfurnished,5896,4,BHK,IndependentFloor
4496,110000,4,Semi-Furnished,3200,4,BHK,IndependentFloor
4497,37000,3,Semi-Furnished,1400,3,BHK,Apartment
4498,4000,3,Furnished,1000,3,BHK,Apartment
4499,5500,1,Unfurnished,445,2,BHK,IndependentHouse
4500,38000,1,Furnished,500,1,RK,StudioApartment
4501,15000,2,Semi-Furnished,750,3,BHK,Apartment
4502,9000,1,Semi-Furnished,1800,2,BHK,Apartment
4503,8000,1,Semi-Furnished,500,1,BHK,IndependentFloor
4504,14900,1,Furnished,660,2,BHK,IndependentFloor
4505,301012,4,Unfurnished,5896,4,BHK,IndependentFloor
4506,401102,4,Unfurnished,5896,4,BHK,IndependentFloor
4507,381812,4,Unfurnished,5896,4,BHK,IndependentFloor
4508,401101,4,Unfurnished,5569,4,BHK,IndependentFloor
4509,504012,4,Unfurnished,5896,4,BHK,IndependentHouse
4510,401104,4,Unfurnished,5896,4,BHK,Villa
4511,540105,4,Unfurnished,5896,4,BHK,Villa
4512,640115,4,Unfurnished,5896,4,BHK,Villa
4513,301182,3,Unfurnished,2856,3,BHK,IndependentFloor
4514,325959,3,Unfurnished,2856,3,BHK,IndependentFloor
4515,381012,3,Unfurnished,2856,3,BHK,IndependentFloor
4516,301102,3,Unfurnished,2856,3,BHK,IndependentFloor
4517,310102,3,Unfurnished,2856,3,BHK,IndependentFloor
4518,381182,3,Unfurnished,2856,3,BHK,IndependentFloor
4519,540105,3,Unfurnished,2856,3,BHK,IndependentFloor
4520,301102,3,Unfurnished,2856,3,BHK,IndependentFloor
4521,310102,4,Unfurnished,5896,4,BHK,IndependentFloor
4522,504101,4,Unfurnished,5896,4,BHK,IndependentFloor
4523,401012,4,Unfurnished,5896,4,BHK,IndependentFloor
4524,381022,4,Unfurnished,5896,4,BHK,IndependentFloor
4525,301102,3,Unfurnished,2856,3,BHK,IndependentFloor
4526,310101,3,Unfurnished,3010,3,BHK,IndependentFloor
4527,301012,4,Unfurnished,5412,4,BHK,Villa
4528,401012,4,Unfurnished,5852,4,BHK,IndependentFloor
4529,301011,4,Unfurnished,4562,4,BHK,Villa
4530,562562,5,Unfurnished,6251,5,BHK,Villa
4531,1102020,5,Unfurnished,6521,5,BHK,Villa
4532,1010102,4,Unfurnished,5896,4,BHK,Villa
4533,301101,3,Unfurnished,3011,3,BHK,IndependentFloor
4534,301102,3,Unfurnished,2856,3,BHK,IndependentFloor
4535,274818,3,Unfurnished,2856,3,BHK,IndependentFloor
4536,235925,3,Unfurnished,2856,3,BHK,IndependentFloor
4537,1241225,4,Unfurnished,5896,4,BHK,Villa
4538,1491191,4,Unfurnished,6952,5,BHK,Villa
4539,13500,1,Furnished,500,1,BHK,Apartment
4540,235592,3,Unfurnished,3011,3,BHK,IndependentFloor
4541,301011,3,Unfurnished,2856,3,BHK,IndependentFloor
4542,301015,3,Unfurnished,2745,3,BHK,IndependentFloor
4543,249419,3,Unfurnished,3011,3,BHK,IndependentFloor
4544,14900,1,Furnished,660,2,BHK,IndependentFloor
4545,301012,4,Unfurnished,5896,4,BHK,IndependentFloor
4546,401010,4,Unfurnished,5596,4,BHK,IndependentFloor
4547,504105,4,Unfurnished,6521,5,BHK,IndependentFloor
4548,401012,4,Unfurnished,5896,4,BHK,IndependentFloor
4549,401102,4,Unfurnished,5896,4,BHK,Villa
4550,401010,4,Unfurnished,5569,4,BHK,Villa
4551,504011,4,Unfurnished,5896,4,BHK,Villa
4552,401012,4,Unfurnished,5896,4,BHK,IndependentHouse
4553,381182,3,Unfurnished,2856,3,BHK,IndependentFloor
4554,401011,3,Unfurnished,2856,3,BHK,IndependentFloor
4555,301012,3,Unfurnished,2856,3,BHK,IndependentFloor
4556,310102,3,Unfurnished,2856,3,BHK,IndependentFloor
4557,401010,3,Unfurnished,2856,3,BHK,IndependentFloor
4558,381012,3,Unfurnished,2856,3,BHK,IndependentFloor
4559,325641,3,Unfurnished,2856,3,BHK,IndependentFloor
4560,316161,4,Unfurnished,5896,4,BHK,IndependentFloor
